text,length,emoji_count,hashtag_count,exclamation_count,question_count,capitalized_word_count,sentence_count,word_count,avg_word_length,verb_count,noun_count,adjective_count,entity_count,has_numerical_list,self_promotion_count,buzzword_count,buzzword_ratio,humble_brag_count,personal_pronouns,motivation_score,excessive_punctuation,has_call_to_action,has_viral_pattern,starts_with_number,contains_money_reference,sentiment_polarity,sentiment_subjectivity,is_extemely_positive,is_extremely_negative,cringe_score
bit ba candidate + follow ed+ 1 sold my FIRST forklift ! = = = of get rep a . vex 1 e peri in eau it a or at 7 4 he ~ was no es es ra ! wie by ®,0.024390243902439025,0.16666666666666666,0.0,0.18181818181818182,0.0,0.16666666666666666,0.07142857142857142,0.05374592833876222,0.14098155673648016,0.030612244897959183,0.03414634146341464,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.12987012987012989,0.14285714285714285,0.0,0.0,1.0,0.6,0.3333333333333333,False,False,0.4885438892309874
2 dawn chop rd+ + follow -~ 9 data scientist ex met ex am d- took 40 pay cut when joined amazon . it was the best career decision 've ever more \ risk ay se . in see = is 1 te am if < tm ba see j in he had 7 is te . < = he he is 9 we ~ j at < es or he be miss cent he pass ces ne he as all is ve to ms ate tea 2 peas . peg cos ale . pe 2 ices as op is in are ®,0.08494533221194281,0.16666666666666666,0.0,0.0,0.0,0.0,0.21428571428571427,0.15146579804560262,0.12996048444626118,0.11224489795918366,0.09756097560975609,0.11320754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.24675324675324678,0.14285714285714285,0.0,1.0,1.0,0.8358974358974359,0.4,False,False,0.3192966877484632
we karl russetto and in he he are erreatiner + follow th- cold called prospective client and he did ' answer . so tested him . he politely asked me to never text him again and blocked me . sent him $ 25 starbucks gift card and asked if he would appreciate my professional persistence and give me chance over cup of coffee . thoughts ? am being too annoying ? @6921 18 ©,0.08746846089150546,0.16666666666666666,0.0,0.0,0.2222222222222222,0.0,0.14285714285714285,0.10423452768729644,0.46031051370219855,0.12244897959183673,0.04390243902439025,0.09433962264150943,0.0,0.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.15584415584415584,0.14285714285714285,0.0,0.0,1.0,0.059145299145299146,0.6666666666666666,False,False,0.5485666403665364
"baldwin addison rd founder of the musicians club empowering + follow w over the past weekend ve received an overwhelming amount of attentionboth positive and negative . while some attempted to cancel me it has completely backfired . our traffic has urged to over 20,000 views sales are at an all time high and we 're receiving hundreds of applications daily . 've had more than 300 messages including inquiries from cos industry leaders and major newspapers requesting interviews . will do my best to respond over the next few days . stand by my decisions and the values we uphold . firing those individuals was the right move for our organization and we are stronger than ever . thank you to everyone who has reached out and supported us through this . the momentum is undesirable and we are excited to keep moving forward . oo@ 42 34 1",0.21867115222876368,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.2280130293159609,0.5347371241482888,0.21428571428571427,0.11707317073170731,0.2830188679245283,0.0,0.0,0.4,0.0,0.0,0.25,0.2222222222222222,0.0,0.18181818181818182,0.14285714285714285,0.0,0.0,1.0,0.45895323723895154,0.41579777365491644,False,False,0.6819684324752574
zainab asia rd+ + follow + wordpress developer grafting responsive business web . oh professional platforms deserve professional behavior it ' disappointing to share that today received this message on linked from muhammad bill butt you are very beautiful . did you know ? will you be my girlfriend ? linked is not dating site . it ' space for professional to learn and grow . yet women continue to face such professional and inappropriate behavior even here . to the person who sent this your message is not compliment it ' disrespectful and uncalled for . please understand the basic etiquette of interesting with others in professional setting . to everyone else especially women if you 've faced something similar know that you 're not alone . it ' time we collectively call out such behavior and demand safe respectful environment on all platforms . let ' ensure linked remains what it was meant to be platform for professional . the message came from muhammad bill butt . could everyone please visit his profile and report him . let ' ensure linked remains space for respect and professionalism . 3:58 pm oe sea muhammad bill mobile oh ago muhammad bill butt data science patron machine learning nap computer vision data visualization flutter monday muhammad bill butt 10:28 pm hi zainab © © ©,0.3481917577796468,0.5,0.0,0.0,0.2222222222222222,0.0,0.4285714285714285,0.3485342019543974,0.6125271105983506,0.3469387755102041,0.18536585365853658,0.4150943396226415,0.0,0.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.4025974025974026,0.7142857142857142,0.0,0.0,1.0,0.4461538461538462,0.4078125,False,False,0.9999999999999999
up er serene he ly finally got it ! very happy to get sap tattooed on my left arm . this is my significant tattoo which enhanced my soul . sounds crazy and intense but its true that am emotional about sap and simply love it ! es ay of a edith pp = es ©,0.054667788057190914,0.16666666666666666,0.0,0.18181818181818182,0.0,0.0,0.09523809523809523,0.0749185667752443,0.3113973116598937,0.061224489795918366,0.02926829268292683,0.16981132075471697,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.07792207792207792,0.0,0.0,0.0,0.0,0.48581196581196584,0.7416666666666667,False,False,0.3347613820047584
so haled al added is ve co at rustle media me experienced director- request services over the past 12 months 've hired and fired 13 creative for my agency . the reason ? lack of attention to detail . --->the biggest issue ve encountered ? consistent spelling errors . nothing says we do it care more than spelling mistakes in the content you deliver to clients . whether it ' video design or social media post every piece of creative needs to meet high standard even if it ' not perfect masterpiece . ---->what makes the difference between floppy work and exceptional service ? taking the extra 5 minutes to review your work properly before ing it out . its the small details that count and they make all the difference in the quality of service we provide to our clients at rustle media me attentiontodetail qualityservice creativestandards agencylife clienttrust ar ' just chill guy in . 40 . of ®,0.23605270535463974,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.26190476190476186,0.24592833876221498,0.5409941506001201,0.21428571428571427,0.1902439024390244,0.2830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,0.3055555555555555,0.0,0.33766233766233766,0.0,0.0,0.0,1.0,0.4565860805860806,0.5076190476190476,False,False,0.9999999999999999
get 2 + follow of senior teach recruited career coach 30 years building lit . oh- linked is just facebook for people who brag about their jobs instead of their kiss . said what said or = om ne 7 le in me th 5 linked profile ! 4 ®,0.04821979254275302,0.16666666666666666,0.0,0.09090909090909091,0.0,0.0,0.09523809523809523,0.06514657980456026,0.4155245882759415,0.08163265306122448,0.06341463414634146,0.018867924528301886,0.0,0.0,0.2,0.0,0.0,0.0,0.027777777777777776,0.0,0.09090909090909091,0.14285714285714285,0.0,0.0,1.0,0.3435897435897436,0.0,False,False,0.44014036558134517
"when sales is life < messages mon details will you be home for thanksgiving ? we miss you will there be any qualified decision makers there ? do ' know what that means . we are very worried he you ce@ 1,464 39 + 49",0.044014578076815254,0.0,0.0,0.0,0.2222222222222222,0.0,0.07142857142857142,0.05700325732899023,0.4156745411512526,0.04081632653061224,0.03414634146341464,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1038961038961039,0.0,0.0,0.0,1.0,0.4748717948717949,0.3,False,False,0.18087983059746315
"reuben passed rd+ + follow master al before it masters you . view my newsletter d- you pay $ 1,000 for weekly linked ghostwriter . but this al is $ 20 week to replace them 1 . go to pp . easygen . to . 2 . write custom topic . 3 . generate post until you it . 4 . click on generate an image from the post . 5 . select your favorite quote . aim for controversial . that ' it . you have your daily post for linked + the image . it took me 21 minutes to make week of content . but does it work ? grew my account from 8,000 to 400,000 this . then grew anisya ' to 20,000 + followers . then grew axilla ' to 18,000 + followers . but what about being original ? can you write great book with pen paper ? 4 yes . can you write bad book with pen paper ? 4 yes . it ' not about the pen the paper . it ' about the author . it ' about you . al is tool . you are the one mastering it . be greater with al . not later . this to help others master al . ®",0.247546958228203,0.16666666666666666,0.0,0.0,0.4444444444444444,0.0,0.7857142857142857,0.3355048859934853,0.37878613382471493,0.26530612244897955,0.16097560975609757,0.1509433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.5277777777777778,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,1.0,0.5097435897435898,0.5770833333333334,False,False,0.7762413298215013
